B19013_001E,state,zipcode,state_code
48491,Pennsylvania,16242,42
51313,Pennsylvania,16255,42
-666666666,Pennsylvania,16332,42
44697,Pennsylvania,16371,42
57244,Pennsylvania,16403,42
54306,Pennsylvania,16406,42
96556,Pennsylvania,16415,42
51583,Pennsylvania,16423,42
54022,Pennsylvania,16435,42
55573,Pennsylvania,16611,42
30000,Pennsylvania,16616,42
50000,Pennsylvania,16623,42
42589,Pennsylvania,16627,42
53125,Pennsylvania,16634,42
56806,Pennsylvania,16640,42
59375,Pennsylvania,16645,42
48984,Pennsylvania,16680,42
-666666666,Pennsylvania,16682,42
74338,Pennsylvania,16727,42
50043,Pennsylvania,16746,42
105691,Pennsylvania,16827,42
81250,Pennsylvania,16832,42
54375,Pennsylvania,16845,42
28750,Pennsylvania,16853,42
53333,Pennsylvania,16914,42
60089,Pennsylvania,16153,42
32292,Pennsylvania,15611,42
49107,Pennsylvania,15617,42
76250,Pennsylvania,15622,42
54776,Pennsylvania,15623,42
-666666666,Pennsylvania,15633,42
69167,Pennsylvania,15646,42
76802,Pennsylvania,15661,42
86103,Pennsylvania,15087,42
54338,Pennsylvania,15060,42
-666666666,Pennsylvania,15082,42
45000,Pennsylvania,15088,42
57549,Pennsylvania,15131,42
30811,Pennsylvania,15132,42
43492,Pennsylvania,15137,42
37860,Pennsylvania,15208,42
53333,Pennsylvania,15823,42
37917,Pennsylvania,15832,42
39375,Pennsylvania,15841,42
36875,Pennsylvania,15847,42
52188,Pennsylvania,15860,42
39615,Pennsylvania,15865,42
54167,Pennsylvania,15688,42
38160,Pennsylvania,15692,42
45123,Pennsylvania,15714,42
-666666666,Pennsylvania,15723,42
58105,Pennsylvania,15218,42
58109,Pennsylvania,15235,42
53039,Pennsylvania,15320,42
73750,Pennsylvania,15321,42
28750,Pennsylvania,15325,42
49063,Pennsylvania,15334,42
50074,Pennsylvania,15348,42
57917,Pennsylvania,16402,42
45465,Pennsylvania,16601,42
74722,Pennsylvania,16636,42
48291,Pennsylvania,16750,42
48333,Pennsylvania,16871,42
47893,Pennsylvania,16801,42
54286,Pennsylvania,16029,42
44375,Pennsylvania,16030,42
63813,Pennsylvania,16033,42
43125,Pennsylvania,16045,42
50313,Pennsylvania,16116,42
52927,Pennsylvania,16117,42
29897,Pennsylvania,16121,42
51250,Pennsylvania,16124,42
60417,Pennsylvania,16858,42
48980,Pennsylvania,16863,42
55481,Pennsylvania,16926,42
52154,Pennsylvania,16915,42
44531,Pennsylvania,16923,42
58787,Pennsylvania,16925,42
52500,Pennsylvania,16928,42
56607,Pennsylvania,16932,42
61818,Pennsylvania,16935,42
39167,Pennsylvania,16941,42
53659,Pennsylvania,16947,42
47820,Pennsylvania,16630,42
50893,Pennsylvania,16666,42
65759,Pennsylvania,17062,42
70938,Pennsylvania,15360,42
148269,Pennsylvania,15367,42
53724,Pennsylvania,15370,42
28424,Pennsylvania,15419,42
58846,Pennsylvania,15423,42
35714,Pennsylvania,15424,42
47917,Pennsylvania,15427,42
65134,Pennsylvania,15429,42
39583,Pennsylvania,15430,42
40427,Pennsylvania,15469,42
55444,Pennsylvania,15478,42
85655,Pennsylvania,15243,42
57722,Pennsylvania,15301,42
70050,Pennsylvania,15312,42
49375,Pennsylvania,16151,42
63882,Pennsylvania,16154,42
52530,Pennsylvania,16159,42
-666666666,Pennsylvania,16236,42
39375,Pennsylvania,16861,42
44230,Pennsylvania,16866,42
71250,Pennsylvania,16877,42
51458,Pennsylvania,16878,42
48580,Pennsylvania,16917,42
41563,Pennsylvania,16927,42
44875,Pennsylvania,16028,42
70119,Pennsylvania,16034,42
82536,Pennsylvania,16037,42
61328,Pennsylvania,16050,42
